"","incident_number","exposure_number","alarm_date","alarm_time","incident_type","incident_description","estimated_property_loss","estimated_content_loss","district","city_section","neighborhood","zip","property_use","property_description","street_number","street_prefix","street_name","street_suffix","street_type","address_2","xstreet_prefix","xstreet_name","xstreet_suffix","xstreet_type","loss_sum","fire"
"292908","17-0020555",0,"2017-04-03","07:58:13","745","Alarm system activation, no fire - unintentional",0,0,"04","BO","Boston","02111","599","Business office","660","","WASHINGTON","","ST","","","","","",0,0
"244902","18-0019739",0,"2018-03-24","07:37:23","736","CO detector activation due to malfunction",0,0,"08","DO","Dorchester","02124","419","1 or 2 family dwelling","26-B","","ARBUTUS","","ST","","","","","",0,0
"409103","14-2021780",0,"2014-09-25","09:57:14","553","Public service",0,0,"04","BO","Boston","02116","500","Mercantile, business, Other","535","","BOYLSTON","","ST","","","","","",0,0
"2320","23-0008906",0,"2023-02-05","08:25:25","522","Water or steam leak",0,0,"09","JP","Jamaica Plain","02130","629","Laboratory or science laboratory","305","","SOUTH","","ST",": #12-2538","","","","",0,0
"231130","18-0044647",0,"2018-07-10","14:24:02","600","Good intent call, Other",0,0,"04","BO","Boston","02118","429","Multifamily dwelling","23","","WELLINGTON","","ST","","","","","",0,0
"89732","21-0037486",0,"2021-07-02","17:39:56","553","Public service",0,0,"12","WR","West Roxbury","02132","311","24-hour care Nursing homes, 4 or more persons","1190","","VFW","","PKWY",": @LTC-ROSCOMMON ON THE PARKWAY EXTENDED","","","","",0,0
"347218","16-0007266",0,"2016-02-04","19:14:55","553","Public service",0,0,"04","BO","Boston","02116","900","Outside or special property, Other","","","BOYLSTON","","ST","","","BERKELEY","","ST",0,0
"40435","22-0036768",0,"2022-06-11","19:37:50","113","Cooking fire, confined to container",0,0,"11","BR","Allston-Brighton","02134","429","Multifamily dwelling","213","","KELTON","","ST","","","","","",0,0
"304278","16-0085873",0,"2016-12-30","22:35:33","552","Police matter",0,0,"04","BO","Boston","02111","174","Rapid transit station","640","","WASHINGTON","","ST",": @MBTA STA-CHINATOWN","","","","",0,0
"81501","21-0050649",0,"2021-08-25","08:55:16","900T","BFD Drill",0,0,"06","","","00000","940","Water area, Other","","","INNER HARBOR","","",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO","","","","",0,0
"52594","22-0016140",0,"2022-03-15","12:58:25","745","Alarm system activation, no fire - unintentional",0,0,"04","BO","Boston","02111","500","Mercantile, business, Other","19-23","","HUDSON","","ST","","","","","",0,0
"292138","17-0022295",0,"2017-04-10","17:28:56","411","Gasoline or other flammable liquid spill",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","3","","HENRY STERLING","","SQ","","","","","",0,0
"43928","22-0030727",0,"2022-05-18","09:10:58","900T","BFD Drill",0,0,"03","BO","Boston","02110","900","Outside or special property, Other","63","","LONG","","WHRF","","","","","",0,0
"352748","15-0079454",0,"2015-12-17","03:58:54","440","Electrical  wiring/equipment problem, Other",0,0,"03","BO","Boston","02114","429","Multifamily dwelling","37","","BOWDOIN","","ST","","","","","",0,0
"45239","22-0028705",0,"2022-05-10","14:25:03","553","Public service",0,0,"03","BO","Boston","02111","599","Business office","1-17","","LINCOLN","","ST",": #WYN4187","","","","",0,0
"379061","15-0032911",0,"2015-05-25","05:29:14","715","Local alarm system, malicious false alarm",0,0,"03","BO","Boston","02109","500","Mercantile, business, Other","1","","DEVONSHIRE","","ST","","","","","",0,0
"334987","16-0029472",0,"2016-05-12","15:59:14","522","Water or steam leak",0,0,"09","RX","Roxbury","02119","400","Residential, Other","76","","WALNUT","","PARK","","","","","",0,0
"85315","21-0044343",0,"2021-07-30","10:37:51","600","Good intent call, Other",0,0,"01","EB","East Boston","02128","162","Bar or nightclub","1012","","BENNINGTON","","ST",": @ANGELAS CAFE - 1012 BENNINGTON ST, EB","","","","",0,0
"154643","20-0003833",0,"2020-01-18","20:10:15","743","Smoke detector activation, no fire - unintentional",0,0,"04","BO","Boston","02115","400","Residential, Other","84","","FENWAY","","","","","","","",0,0
"333723","16-0031640",0,"2016-05-21","09:25:49","745","Alarm system activation, no fire - unintentional",0,0,"08","DO","Dorchester","02124","254","Day care, in commercial property","11","","ASHMONT","","ST",": #WYN1140","","","","",0,0
"225290","18-0054374",0,"2018-08-18","10:04:14","553","Public service",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","128","","O","","ST","","","","","",0,0
"64138","21-0078856",0,"2021-12-20","10:38:33","621","Wrong location",0,0,"11","BR","Allston-Brighton","02135","400","Residential, Other","58-60","","COLBORNE","","RD","","","","","",0,0
"391150","15-0011740",0,"2015-02-17","20:17:01","522","Water or steam leak",0,0,"09","RX","Roxbury","02119","429","Multifamily dwelling","57","","CODMAN","","PARK","","","","","",0,0
"163934","19-0072383",0,"2019-11-07","12:57:03","554","Assist invalid",0,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","24","","COLBORNE","","RD","","","","","",0,0
"131065","20-0042819",0,"2020-08-02","10:16:56","143","Grass fire",0,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","1465","","COMMONWEALTH","","AVE","","","","","",0,0
"298059","17-0011157",0,"2017-02-21","08:06:40","462","Aircraft standby",0,0,"01","EB","East Boston","02128","973","Aircraft taxiway","204","","PRESCOTT","","ST",": @LOG-NORTH GATE STG","","","","",0,0
"279654","17-0045426",0,"2017-07-16","14:39:43","714","Central station, malicious false alarm",0,0,"03","BO","Boston","02109","500","Mercantile, business, Other","100","","STATE","","ST",": #CLM151","","","","",0,0
"48462","22-0022908",0,"2022-04-16","11:01:02","113","Cooking fire, confined to container",0,0,"08","MT","Mattapan","02126","429","Multifamily dwelling","201","","RIVER","","ST","","","","","",0,0
"437668","14-0002342",0,"2014-01-09","14:20:26","522","Water or steam leak",0,0,"06","","","02124","429","Multifamily dwelling","000025","","SOUTH POINT","","DR","HARBOR POINT APTS","","","","",0,0
"388599","15-0015717",0,"2015-03-05","20:47:38","424","Carbon monoxide incident",0,0,"12","HP","Hyde Park","02136","419","1 or 2 family dwelling","33","","MOUNT ASH","","RD","","","","","",0,0
"338212","16-0023401",0,"2016-04-15","18:08:11","736","CO detector activation due to malfunction",0,0,"09","JP","Jamaica Plain","02130","400","Residential, Other","17","","GROVENOR","","RD","","","","","",0,0
"403169","14-2032917",0,"2014-11-15","22:44:29","611","Dispatched & cancelled en route",0,0,"12","HP","Hyde Park","02136","","","69","","CHILD","","ST","","","","","",0,0
"262346","17-0076337",0,"2017-11-17","12:39:38","611","Dispatched & cancelled en route",0,0,"04","BO","Boston","02118","","","725","","ALBANY","","ST","","","","","",0,0
"205757","19-0001259",0,"2019-01-07","08:07:41","714","Central station, malicious false alarm",0,0,"04","BO","Boston","02116","419","1 or 2 family dwelling","199","","COMMONWEALTH","","AVE","","","","","",0,0
"163297","19-0073628",0,"2019-11-12","18:39:07","413","Oil or other combustible liquid spill",0,0,"11","BR","Allston-Brighton","02215","963","Street or road in commercial area","830","","COMMONWEALTH","","AVE","","","","","",0,0
"205788","19-0001310",0,"2019-01-07","12:34:19","714","Central station, malicious false alarm",0,0,"09","RX","Roxbury","02115","439","Boarding/rooming house, residential hotels","20","","VINING","","ST",": #PAT5532","","","","",0,0
"45438","22-0028558",0,"2022-05-09","22:00:14","142","Brush or brush-and-grass mixture fire",0,0,"09","RX","Roxbury","02119","","","25","","WARREN","","ST",": @MBTA STA-NUBIAN STATION","","","","",0,0
"31046","22-0052077",0,"2022-08-07","11:20:47","621","Wrong location",0,0,"01","EB","East Boston","02128","131","Church, mosque, synagogue, temple, chapel","32","","BREMEN","","ST",": @CH-IGLESIA BIBLICA FARO DE LUZ - 332","","","","",0,0
"92701","21-0032354",0,"2021-06-11","10:38:06","600","Good intent call, Other",0,0,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","14","","GAY HEAD","","ST","","","","","",0,0
"157859","19-0082693",0,"2019-12-22","09:47:24","522","Water or steam leak",0,0,"06","SB","South Boston","02210","882","Parking garage, general vehicle","399","","CONGRESS","","ST","","","","","",0,0
"391867","15-0010672",0,"2015-02-14","22:59:11","400","Hazardous condition, Other",0,0,"09","JP","Jamaica Plain","02130","400","Residential, Other","51","","HAMPSTEAD","","RD","","","","","",0,0
"318852","16-0059149",0,"2016-09-07","18:50:36","500","Service Call, other",0,0,"03","","","00000","900","Outside or special property, Other","","","LONGFELLOW BRIDGE","","",": @BR-LONGFELLOW","","","","",0,0
"60920","22-0002882",0,"2022-01-14","17:31:53","553","Public service",0,0,"04","BO","Boston","02118","429","Multifamily dwelling","80","W","DEDHAM","","ST","","","","","",0,0
"352253","15-0080637",0,"2015-12-22","16:08:27","553","Public service",0,0,"07","DO","Dorchester","02121","965","Vehicle parking area","100","","WASHINGTON","","ST",": @BURGER KING - 100 WASHINGTON ST, DORC","","","","",0,0
"129774","20-0044894",0,"2020-08-11","07:38:56","552","Police matter",0,0,"04","BO","Boston","02115","900","Outside or special property, Other","","","CLAREMONT","","PARK","","","CLAREMONT","","ST",0,0
"315901","16-0064362",0,"2016-09-28","11:49:15","900A","FIU activity  (not covered by other inc types)",0,0,"11","BR","Allston-Brighton","02134","215","High school/junior high school/middle school","30","","ATHOL","","ST","","","","","",0,0
"165090","19-0070386",0,"2019-10-30","09:39:12","714","Central station, malicious false alarm",0,0,"03","BO","Boston","02108","400","Residential, Other","62","","BEACON","","ST",": #CLM114","","","","",0,0
"301167","17-0005575",0,"2017-01-26","20:19:16","600","Good intent call, Other",0,0,"12","RS","Roslindale","02131","962","Residential street, road or residential driveway","37","","HAYDN","","ST","","","","","",0,0
"201523","19-0008392",0,"2019-02-07","11:38:48","151","Outside rubbish, trash or waste fire",0,0,"09","JP","Jamaica Plain","02130","962","Residential street, road or residential driveway","5","","SCHILLER","","ST","","","","","",0,0
"431240","14-0014142",0,"2014-03-13","20:45:33","553","Public service",0,0,"01","","","02128","439","Boarding/rooming house, residential hotels","000127","","MARION","","ST","UNIT 120","","","","",0,0
"27240","22-0058466",0,"2022-08-30","18:21:10","553","Public service",0,0,"09","RX","Roxbury","02119","960","Street, Other","105","","WALNUT","","AVE","","","","","",0,0
"372547","15-0044721",0,"2015-07-16","20:26:42","900T","BFD Drill",0,0,"04","BO","Boston","02115","150","Public or government, Other","941","","BOYLSTON","","ST",": @BFD ENG 33","","","","",0,0
"67220","21-0073893",0,"2021-11-28","21:24:41","554","Assist invalid",0,0,"06","SB","South Boston","02127","419","1 or 2 family dwelling","600","E","FIFTH","","ST","","","","","",0,0
"186196","19-0035059",0,"2019-06-11","10:45:14","714","Central station, malicious false alarm",0,0,"04","BO","Boston","02215","241","Adult education center, college classroom","19","","DEERFIELD","","ST","","","","","",0,0
"215611","18-0070653",0,"2018-10-23","11:07:03","553","Public service",0,0,"07","DO","Dorchester","02122","419","1 or 2 family dwelling","6","","MILL","","ST","","","","","",0,0
"151865","20-0008373",0,"2020-02-09","03:03:06","715","Local alarm system, malicious false alarm",0,0,"12","RS","Roslindale","02131","500","Mercantile, business, Other","72","","ALDRICH","","ST","","","","","",0,0
"269422","17-0063749",0,"2017-09-27","08:48:57","714","Central station, malicious false alarm",0,0,"11","BR","Allston-Brighton","02467","400","Residential, Other","2400","","BEACON","","ST","","","","","",0,0
"304726","16-0084859",0,"2016-12-25","14:17:03","714","Central station, malicious false alarm",0,0,"07","DO","Dorchester","02124","400","Residential, Other","519","","GENEVA","","AVE","","","","","",0,0
"261260","17-0078321",0,"2017-11-26","12:57:24","553","Public service",0,0,"08","MT","Mattapan","02126","429","Multifamily dwelling","30","","FREMONT","","ST","","","","","",0,0
"412292","14-2016262",0,"2014-08-31","22:06:39","600","Good intent call, Other",0,0,"03","CH","Charlestown","02129","419","1 or 2 family dwelling","14","","PARK","","ST","","","","","",0,0
"400090","14-2038178",0,"2014-12-10","16:02:50","711","Municipal alarm system, malicious false alarm",0,0,"12","RS","Roslindale","02131","962","Residential street, road or residential driveway","43","","CUMMINS","","HWY",": #2632","","","","",0,0
"162101","19-0075300",0,"2019-11-20","07:32:27","746","Carbon monoxide detector activation, no CO",0,0,"03","BO","Boston","02109","500","Mercantile, business, Other","112","","WATER","","ST","","","","","",0,0
"63332","21-0080435",0,"2021-12-27","19:28:22","611","Dispatched & cancelled en route",0,0,"08","DO","Dorchester","02124","","","84","","CORBET","","ST","","","","","",0,0
"414432","14-2012099",0,"2014-08-11","14:15:07","550","Public service assistance, Other",0,0,"01","EB","East Boston","02128","429","Multifamily dwelling","205","","LEXINGTON","","ST","","","","","",0,0
"415351","14-2010409",0,"2014-08-02","20:31:58","551","Assist police or other governmental agency",0,0,"09","RX","Roxbury","02119","400","Residential, Other","241","","WALNUT","","AVE",":UNIT 1F","","","","",0,0
"247651","18-0015086",0,"2018-03-03","10:48:34","550","Public service assistance, Other",0,0,"01","EB","East Boston","02128","429","Multifamily dwelling","102","","PARIS","","ST",":BACK YARD","","","","",0,0
"45308","22-0028825",0,"2022-05-10","22:46:33","511","Lock-out",0,0,"08","MT","Mattapan","02126","960","Street, Other","29","W","SELDEN","","ST","","","","","",0,0
"324676","16-0047997",0,"2016-07-25","10:20:14","900","Special type of incident, Other",0,0,"08","DO","Dorchester","02124","539","Household goods, sales, repairs","20","","TALBOT","","AVE","","","","","",0,0
"301145","17-0005531",0,"2017-01-26","15:09:04","553","Public service",0,0,"09","RX","Roxbury","02119","460","Dormitory-type residence, other","757","","SHAWMUT","","AVE","","","","","",0,0
"183283","19-0039870",0,"2019-07-01","11:00:14","733","Smoke detector activation due to malfunction",0,0,"04","BO","Boston","02118","429","Multifamily dwelling","320","","SHAWMUT","","AVE","","","","","",0,0
"136184","20-0034385",0,"2020-06-24","09:55:51","424","Carbon monoxide incident",0,0,"08","DO","Dorchester","02122","419","1 or 2 family dwelling","9","S","MUNROE","","TER","","","","","",0,0
"436828","14-0003719",0,"2014-01-16","12:10:18","551","Assist police or other governmental agency",0,0,"01","","","02128","941","Open ocean, sea or tidal waters","000000","","TAFTS","","AV","Deer Island pier","","","","",0,0
"204568","19-0003431",0,"2019-01-17","14:18:55","611","Dispatched & cancelled en route",0,0,"01","EB","East Boston","02128","","","1047","","SARATOGA","","ST","","","","","",0,0
"322044","16-0052964",0,"2016-08-13","10:20:40","511","Lock-out",0,0,"12","WR","West Roxbury","02132","960","Street, Other","1940","","CENTRE","","ST","","","","","",0,0
"154675","20-0003456",0,"2020-01-17","02:02:01","553","Public service",0,0,"09","RX","Roxbury","02119","419","1 or 2 family dwelling","19","","FENNO","","ST","","","","","",0,0
"187953","19-0032205",0,"2019-05-30","19:01:55","700","False alarm or false call, Other",0,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","289","","COREY","","RD",": #AFA8133","","","","",0,0
"235934","18-0036534",0,"2018-06-06","20:34:05","553","Public service",0,0,"07","RX","Roxbury","02119","900","Outside or special property, Other","6","","WAVERLY","","ST","","","","","",0,0
"319140","16-0058647",0,"2016-09-05","20:41:23","553","Public service",0,0,"11","BR","Allston-Brighton","02135","960","Street, Other","","","CHESTNUT HILL","","AVE","","","ENGLEWOOD","","AVE",0,0
"165998","19-0068681",0,"2019-10-23","01:03:59","743","Smoke detector activation, no fire - unintentional",0,0,"03","BO","Boston","02110","000","Property Use, Other","255","","STATE","","ST",": #12-1296","","","","",0,0
"142121","20-0025093",0,"2020-05-08","19:24:21","553","Public service",0,0,"09","RX","Roxbury","02119","900","Outside or special property, Other","2300","","WASHINGTON","","ST","","","","","",0,0
"223331","18-0057851",0,"2018-09-01","16:10:37","554","Assist invalid",0,0,"06","DO","Dorchester","02125","500","Mercantile, business, Other","7","","ALLSTATE","","RD",": @SOUTH BAY-TARGET - 7 ALLSTATE RD, DO","","","","",0,0
"89992","21-0036878",0,"2021-06-30","13:42:49","715","Local alarm system, malicious false alarm",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","3","","HENRY STERLING","","SQ","","","","","",0,0
"62755","21-0081117",0,"2021-12-31","02:55:30","553","Public service",0,0,"03","BO","Boston","02114","429","Multifamily dwelling","65","","MARTHA","","RD","","","","","",0,0
"50450","22-0019804",0,"2022-04-01","19:41:33","745","Alarm system activation, no fire - unintentional",0,0,"11","BR","Allston-Brighton","02135","429","Multifamily dwelling","1-3","","FIDELIS","","WAY",": #21-5197","","","","",0,0
"16993","22-0075291",0,"2022-11-01","16:31:51","422","Chemical spill or leak",0,0,"10","HP","Hyde Park","02136","965","Vehicle parking area","230","","MEADOW","","RD","","","","","",0,0
"334246","16-0030597",0,"2016-05-17","05:58:05","715","Local alarm system, malicious false alarm",0,0,"03","BO","Boston","02113","400","Residential, Other","8","","HULL","","ST","","","","","",0,0
"191267","19-0026276",0,"2019-05-03","13:11:35","714","Central station, malicious false alarm",0,0,"04","BO","Boston","02215","460","Dormitory-type residence, other","44","","BUSWELL","","ST",": #BU344","","","","",0,0
"171319","19-0059989",0,"2019-09-18","15:21:52","600","Good intent call, Other",0,0,"03","BO","Boston","02114","900","Outside or special property, Other","24","","NEW CHARDON","","ST","","","","","",0,0
"266561","17-0069046",0,"2017-10-18","13:50:53","900A","FIU activity  (not covered by other inc types)",0,0,"06","RX","Roxbury","02118","599","Business office","920","","MASSACHUSETTS","","AVE","","","","","",0,0
"124562","20-0053659",0,"2020-09-20","16:02:01","714","Central station, malicious false alarm",0,0,"03","BO","Boston","02113","400","Residential, Other","80","","CHARTER","","ST",": #WYN2459","","","","",0,0
"359094","15-0068235",0,"2015-10-26","07:51:31","600","Good intent call, Other",0,0,"09","BO","Boston","02215","900","Outside or special property, Other","","","FENWAY","","","","","PALACE","","RD",0,0
"97838","21-0023639",0,"2021-05-03","09:15:33","553","Public service",0,0,"08","DO","Dorchester","02124","429","Multifamily dwelling","18","","WRENTHAM","","ST","","","","","",0,0
"183720","19-0039575",0,"2019-06-29","23:35:53","745","Alarm system activation, no fire - unintentional",0,0,"09","RX","Roxbury","02120","429","Multifamily dwelling","40","","FISHER","","AVE","","","","","",0,0
"145312","20-0019726",0,"2020-04-08","12:42:43","551","Assist police or other governmental agency",0,0,"03","BO","Boston","02113","500","Mercantile, business, Other","218","","HANOVER","","ST",": @CVS/PHARMACY - 218 HANOVER ST, BOSTON","","","","",0,0
"124513","20-0053584",0,"2020-09-20","08:48:21","735","Alarm system sounded due to malfunction",0,0,"04","BO","Boston","02118","429","Multifamily dwelling","255","","SHAWMUT","","AVE","","","","","",0,0
"252466","18-0006473",0,"2018-01-24","09:55:40","714","Central station, malicious false alarm",0,0,"08","MT","Mattapan","02126","429","Multifamily dwelling","85","","TENNIS","","RD","","","","","",0,0
"77911","21-0056709",0,"2021-09-18","17:45:08","745","Alarm system activation, no fire - unintentional",0,0,"04","BO","Boston","02118","400","Residential, Other","6","","WELLINGTON","","ST","","","","","",0,0
"429018","14-0018023",0,"2014-04-03","18:50:49","553","Public service",0,0,"04","","","02116","963","Street or road in commercial area","","","COMMONWEALTH","","AV","","","EXETER","","ST",0,0
"86318","21-0042965",0,"2021-07-24","19:38:08","113","Cooking fire, confined to container",0,0,"04","BO","Boston","02215","400","Residential, Other","82-86","","JERSEY","","ST","","","","","",0,0
"362199","15-0062847",0,"2015-10-02","13:40:59","611","Dispatched & cancelled en route",0,0,"04","BO","Boston","02215","","","133","","BROOKLINE","","AVE","","","","","",0,0
"219059","18-0064987",0,"2018-09-29","19:54:00","745","Alarm system activation, no fire - unintentional",0,0,"04","BO","Boston","02215","400","Residential, Other","2","","RALEIGH","","ST",": #BU478","","","","",0,0
"313653","16-0068710",0,"2016-10-15","20:21:13","735","Alarm system sounded due to malfunction",0,0,"09","RX","Roxbury","02119","429","Multifamily dwelling","37","","WILLIAMS","","ST","","","","","",0,0
"156934","19-0084556",0,"2019-12-31","21:35:49","745","Alarm system activation, no fire - unintentional",0,0,"12","HP","Hyde Park","02136","131","Church, mosque, synagogue, temple, chapel","1214","","HYDE PARK","","AVE","","","","","",0,0
"164841","19-0071109",0,"2019-11-01","19:01:54","553","Public service",0,0,"09","JP","Jamaica Plain","02130","000","Property Use, Other","95","","ATHERTON","","ST",": #2275","","","","",0,0
"121971","20-0057700",0,"2020-10-08","12:08:59","553","Public service",0,0,"09","RX","Roxbury","02119","429","Multifamily dwelling","125","","AMORY","","ST",": @BHA-AMORY STREET","","","","",0,0
"204637","19-0003544",0,"2019-01-17","22:52:04","711","Municipal alarm system, malicious false alarm",0,0,"03","BO","Boston","02116","900","Outside or special property, Other","","","ESSEX","","ST",": #1471","","WASHINGTON","","ST",0,0
"277696","17-0048872",0,"2017-07-31","09:44:01","700","False alarm or false call, Other",0,0,"03","","","00000","961","Highway or divided highway","","","I90","E","",": #AMA100","","","","",0,0
"289923","17-0026310",0,"2017-04-28","16:18:01","522","Water or steam leak",0,0,"09","RX","Roxbury","02115","331","Hospital - medical or psychiatric","330","","BROOKLINE","","AVE",": #12-2353","","","","",0,0
"307906","16-0079033",0,"2016-11-30","06:32:30","611","Dispatched & cancelled en route",0,0,"09","RX","Roxbury","02115","","","7","","FRAWLEY","","ST","","","","","",0,0
"298270","17-0011116",0,"2017-02-20","22:53:54","160","Special outside fire, Other",0,0,"11","BR","Allston-Brighton","02135","900","Outside or special property, Other","916","","JETTE","","CT","","","","","",0,0
"184352","19-0038228",0,"2019-06-24","15:42:34","113","Cooking fire, confined to container",0,0,"04","BO","Boston","02115","460","Dormitory-type residence, other","316","","HUNTINGTON","","AVE",": #15-2331","","","","",0,0
"2100","23-0008679",0,"2023-02-05","03:00:11","522","Water or steam leak",0,0,"06","SB","South Boston","02127","429","Multifamily dwelling","3","","BREWSTER","","ST","","","","","",0,0
"163917","19-0072350",0,"2019-11-07","11:04:59","553","Public service",0,0,"09","","","02130","960","Street, Other","","","OAKDALE","","TER","","","","","",0,0
"210038","18-0080148",0,"2018-12-02","18:34:39","412","Gas leak (natural gas or LPG)",0,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","27","","SONOMA","","ST","","","","","",0,0
"82476","21-0049154",0,"2021-08-19","09:32:16","745","Alarm system activation, no fire - unintentional",0,0,"09","RX","Roxbury","02120","215","High school/junior high school/middle school","67","","ALLEGHANY","","ST",": #12-2367","","","","",0,0
"310015","16-0075393",0,"2016-11-13","17:56:39","651","Smoke scare, odor of smoke",0,0,"04","BO","Boston","02215","963","Street or road in commercial area","500","","COMMONWEALTH","","AVE",": @MBTA STA-KENMORE","","","","",0,0
"311943","16-0071636",0,"2016-10-28","11:04:10","400","Hazardous condition, Other",0,0,"12","HP","Hyde Park","02136","579","Motor vehicle or boat sales, services, repair","98","","PROVIDENCE","","ST","","","","","",0,0
"403812","14-2031734",0,"2014-11-09","22:34:58","151","Outside rubbish, trash or waste fire",0,0,"09","RX","Roxbury","02120","936","Vacant lot","12","","WAIT","","ST","","","","","",0,0
"402718","14-2033489",0,"2014-11-18","12:01:23","600","Good intent call, Other",0,0,"09","JP","Jamaica Plain","02130","400","Residential, Other","954","","PARKER","","ST","","","","","",0,0
"256940","17-0085732",0,"2017-12-30","03:34:33","522","Water or steam leak",0,0,"04","BO","Boston","02118","400","Residential, Other","76-82","W","RUTLAND","","SQ",": #WYN3095","","","","",0,0
"245334","18-0019285",0,"2018-03-21","20:34:06","714","Central station, malicious false alarm",0,0,"03","BO","Boston","02109","429","Multifamily dwelling","326-328","","COMMERCIAL","","ST","","","","","",0,0
"412366","14-2015979",0,"2014-08-30","15:18:43","715","Local alarm system, malicious false alarm",0,0,"03","BO","Boston","02113","400","Residential, Other","1","","MICHELANGELO","","ST","","","","","",0,0
"365002","15-0058083",0,"2015-09-12","15:33:08","553","Public service",0,0,"11","BR","Allston-Brighton","02135","960","Street, Other","85","","HOBART","","ST",": @PARK-HOBART PARK","","","","",0,0
"347879","16-0006000",0,"2016-01-29","21:21:02","600","Good intent call, Other",0,0,"09","JP","Jamaica Plain","02130","900","Outside or special property, Other","3699","","WASHINGTON","","ST",": @MBTA STA-FOREST HILLS","","","","",0,0
"16357","22-0076278",0,"2022-11-05","14:29:31","714","Central station, malicious false alarm",0,0,"07","RX","Roxbury","02118","429","Multifamily dwelling","860","","HARRISON","","AVE",": #WYN4868","","","","",0,0
"22595","22-0065810",0,"2022-09-27","08:47:07","745","Alarm system activation, no fire - unintentional",0,0,"09","RX","Roxbury","02121","429","Multifamily dwelling","89-91","","GEORGIA","","ST",": #WYN6649","","","","",0,0
"29831","22-0054435",0,"2022-08-15","23:32:13","412","Gas leak (natural gas or LPG)",0,0,"04","BO","Boston","02115","429","Multifamily dwelling","102","","NORWAY","","ST","","","","","",0,0
"17462","22-0074452",0,"2022-10-29","15:21:11","553","Public service",0,0,"06","DO","Dorchester","02125","900","Outside or special property, Other","7","","ALLSTATE","","RD",": @TARGET-SOUTH BAY - 7 ALLSTATE RD, DO","","","","",0,0
"92436","21-0032786",0,"2021-06-13","08:31:20","733","Smoke detector activation due to malfunction",0,0,"03","BO","Boston","02110","449","Hotel/motel, commercial","250","","FRANKLIN","","ST",": @HOTEL-LANGHAM HOTEL - 250 FRANKLIN ST","","","","",0,0
"131607","20-0042024",0,"2020-07-29","16:38:40","143","Grass fire",0,0,"12","RS","Roslindale","02131","931","Open land or field","511","","CUMMINS","","HWY","","","","","",0,0
"117548","20-0065010",0,"2020-11-12","10:29:59","735","Alarm system sounded due to malfunction",0,0,"12","HP","Hyde Park","02136","429","Multifamily dwelling","240-262","","GEORGETOWNE","","DR","","","","","",0,0
"32344","22-0050149",0,"2022-07-31","18:49:49","553","Public service",0,0,"03","BO","Boston","02108","900","Outside or special property, Other","60","","SCHOOL","","ST",": @HOTEL-OMNI-PARKER HOUSE - 60 SCHOOL S","","","","",0,0
"329979","16-0038627",0,"2016-06-18","17:20:54","715","Local alarm system, malicious false alarm",0,0,"12","WR","West Roxbury","02132","419","1 or 2 family dwelling","108","","CHESBROUGH","","RD","","","","","",0,0
"99611","21-0020856",0,"2021-04-19","23:18:03","553","Public service",0,0,"07","DO","Dorchester","02121","429","Multifamily dwelling","34","","WASHINGTON","","ST","","","","","",0,0
"258951","17-0082539",0,"2017-12-15","16:22:47","553","Public service",0,0,"08","DO","Dorchester","02124","200","Educational, Other","155","","TALBOT","","AVE",": @SCH-BOSTON PUBLIC SCHOOLS - 155 TALBO","","","","",0,0
"93395","21-0031408",0,"2021-06-07","18:21:41","412","Gas leak (natural gas or LPG)",0,0,"03","CH","Charlestown","02129","419","1 or 2 family dwelling","64","","FERRIN","","ST","","","","","",0,0
"264791","17-0071890",0,"2017-10-30","03:58:29","520","Water problem, Other",0,0,"12","HP","Hyde Park","02136","400","Residential, Other","605","","TRUMAN","","PKWY","","","","","",0,0
"109032","21-0004811",0,"2021-01-27","10:43:36","745","Alarm system activation, no fire - unintentional",0,0,"09","JP","Jamaica Plain","02130","400","Residential, Other","125","","SOUTH","","ST",": #14-2514","","","","",0,0
"403773","14-2031673",0,"2014-11-09","15:48:13","652","Steam, vapor, fog or dust thought to be smoke",0,0,"04","BO","Boston","02115","429","Multifamily dwelling","20","","CLEARWAY","","ST","","","","","",0,0
"2781","23-0009426",0,"2023-02-05","19:41:24","113","Cooking fire, confined to container",0,0,"11","BR","Allston-Brighton","02135","300","Health care, detention, & correction, Other","3-5","","ABBY","","RD","","","","","",0,0
"376009","15-0038575",0,"2015-06-18","20:32:49","553","Public service",0,0,"11","BR","Allston-Brighton","02135","963","Street or road in commercial area","66","","CHESTNUT HILL","","AVE","","","","","",0,0
"86718","21-0042100",0,"2021-07-21","11:06:42","611","Dispatched & cancelled en route",0,0,"07","RX","Roxbury","02118","","","35","","NORTHAMPTON","","ST","","","","","",0,0
"161210","19-0076813",0,"2019-11-27","04:53:54","715","Local alarm system, malicious false alarm",0,0,"04","BO","Boston","02116","429","Multifamily dwelling","270","","COMMONWEALTH","","AVE",": @COL-BERKLEE COLLEGE OF MUSIC INC - 27","","","","",0,0
